packing_idx,sigma_idx,density_idx,packing_cells_per_mm2,sigma_um,mean_tx_per_cell,field_seed,transcript_seed,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,same_type_error_frac_oracle,same_type_error_frac_naive,profile_ari_vs_truetype,profile_ari_vs_trueclust,perfect_ari_vs_truetype,naive_profile_ari_vs_truetype,n_cells_clustered,realized_median_tx_per_cell,realized_packing_cells_per_mm2
1,4,3,3400.0,8.0,280.0,20262703,20266739,400,254,213,1.6103153534507872,9.67577153305815,342.99717028501766,71387,0.5097146539285864,0.3795789149284884,0.130135739000098,True,0.3105276378104586,0.2157247079354897,0.4828571428571429,0.306276811921427,1.0,1.0,1.0,0.8141847987738905,254,280.0,3400.0000000000005
1,4,4,3400.0,8.0,500.0,20262703,20267748,400,254,213,1.6103153534507872,9.67577153305815,342.99717028501766,127554,0.5096586543738338,0.38177556172287813,0.1278830926509557,True,0.3103252039993236,0.21627924677152613,0.4870413302422256,0.310207083708485,1.0,1.0,1.0,0.8822925954093939,254,502.5,3400.0000000000005
2,0,0,5700.0,0.5,50.0,20263635,20264644,400,348,213,1.2436923540516844,7.4728735892805505,264.9064714130088,17350,0.929221902017291,0.9231700288184438,0.006051873198847257,True,0.8674384099409977,0.857104760785316,0.34039087947882735,0.3218304576144036,1.0,1.0,1.0,1.0,348,49.0,5699.999999999999
2,0,1,5700.0,0.5,90.0,20263635,20265653,400,348,213,1.2436923540516844,7.4728735892805505,264.9064714130088,31177,0.9307823074702505,0.9208711550181223,0.009911152452128147,True,0.8704426909108048,0.8528496645666429,0.3266913809082484,0.32346980137819215,1.0,1.0,1.0,1.0,348,89.0,5699.999999999999
2,0,2,5700.0,0.5,160.0,20263635,20266662,400,348,213,1.2436923540516844,7.4728735892805505,264.9064714130088,55256,0.9309939192123933,0.9241530331547705,0.006840886057622786,True,0.8705892460236939,0.8583390749352361,0.33175976921059536,0.32116439990455736,1.0,1.0,1.0,1.0,348,158.5,5699.999999999999
2,0,3,5700.0,0.5,280.0,20263635,20267671,400,348,213,1.2436923540516844,7.4728735892805505,264.9064714130088,97191,0.9298700496959595,0.9232953668549557,0.0065746828410038205,True,0.8690674253634243,0.857062755491339,0.3199823943661972,0.30824949698189136,1.0,1.0,1.0,1.0,348,279.0,5699.999999999999
2,0,4,5700.0,0.5,500.0,20263635,20268680,400,348,213,1.2436923540516844,7.4728735892805505,264.9064714130088,174229,0.9308094519282094,0.9227568315263246,0.008052620401884814,True,0.8705319282662844,0.8562334101026785,0.3303193695562007,0.31401396938623866,1.0,1.0,1.0,1.0,348,502.0,5699.999999999999
2,1,0,5700.0,1.0,50.0,20263652,20264661,400,335,213,1.2436923540516844,7.4728735892805505,264.9064714130088,16739,0.8992173964991935,0.8694665153234961,0.029750881175697463,True,0.8154081998369281,0.7645440712022984,0.4078245406046236,0.30572082379862703,1.0,1.0,1.0,1.0,335,50.0,5699.999999999999
2,1,1,5700.0,1.0,90.0,20263652,20265670,400,335,213,1.2436923540516844,7.4728735892805505,264.9064714130088,29988,0.898359343737495,0.8696145124716553,0.02874483126583971,True,0.8138803736488487,0.7643045488719219,0.39041994750656167,0.30562659846547313,1.0,1.0,1.0,1.0,335,90.0,5699.999999999999
2,1,2,5700.0,1.0,160.0,20263652,20266679,400,335,213,1.2436923540516844,7.4728735892805505,264.9064714130088,53590,0.9002239223735772,0.8697331591714872,0.030490763202089988,True,0.8168102779164658,0.7654080306249196,0.4052739854123808,0.29852456668099125,1.0,1.0,1.0,1.0,335,160.0,5699.999999999999
2,1,3,5700.0,1.0,280.0,20263652,20267688,400,335,213,1.2436923540516844,7.4728735892805505,264.9064714130088,94059,0.8991696701006815,0.8699008069403247,0.029268863160356817,True,0.8152554627435973,0.7658559515397895,0.41364403205398564,0.31159597940671735,1.0,1.0,1.0,1.0,335,280.0,5699.999999999999
